Sample	lon	lat	wc2.0_bio_30s_01	wc2.0_bio_30s_02	wc2.0_bio_30s_03	wc2.0_bio_30s_04	wc2.0_bio_30s_05	wc2.0_bio_30s_06	wc2.0_bio_30s_07	wc2.0_bio_30s_08	wc2.0_bio_30s_09	wc2.0_bio_30s_10	wc2.0_bio_30s_11	wc2.0_bio_30s_12	wc2.0_bio_30s_13	wc2.0_bio_30s_14	wc2.0_bio_30s_15	wc2.0_bio_30s_16	wc2.0_bio_30s_17	wc2.0_bio_30s_18	wc2.0_bio_30s_19
17N02820	-104.77	44.38	7.112499878	13.65833319	31.54349523	1047.254248	27.79999924	-15.5	43.29999924	17.29999955	-5.949999988	20.09999975	-5.949999988	390	72	12	61.26183489	183	39	151	39
17N02822	-117.37	33.26764	16.81250008	12.37499984	54.03930264	330.6269764	28.79999924	5.900000095	22.89999914	13.33333357	20.20000013	21.14999994	13.08333365	285	55	1	87.44337634	158	6	12	148
17N02826	-104.77	44.38	7.112499878	13.65833319	31.54349523	1047.254248	27.79999924	-15.5	43.29999924	17.29999955	-5.949999988	20.09999975	-5.949999988	390	72	12	61.26183489	183	39	151	39
17N02828	-118.11	52.91	2.449999991	10.38333319	30.81107877	853.977318	17.79999924	-15.89999962	33.69999886	12.81666652	-2.083333381	12.81666652	-8.199999936	469	66	21	39.83820927	191	71	191	83
17N02829	-118.11	52.91	2.449999991	10.38333319	30.81107877	853.977318	17.79999924	-15.89999962	33.69999886	12.81666652	-2.083333381	12.81666652	-8.199999936	469	66	21	39.83820927	191	71	191	83
17N02831	-118.11	52.91	2.449999991	10.38333319	30.81107877	853.977318	17.79999924	-15.89999962	33.69999886	12.81666652	-2.083333381	12.81666652	-8.199999936	469	66	21	39.83820927	191	71	191	83
2700-15676	-85.30333	42.296921	8.787500056	10.60833334	28.06437379	993.3326001	26.10000038	-11.69999981	37.80000019	19.63333337	-2.549999932	20.69999997	-3.883333226	901	96	39	24.69409764	275	147	270	151
2730-70640	-118.11	52.91	2.449999991	10.38333319	30.81107877	853.977318	17.79999924	-15.89999962	33.69999886	12.81666652	-2.083333381	12.81666652	-8.199999936	469	66	21	39.83820927	191	71	191	83
2780-13031	-114.04	46.71	7.754166616	13.45833333	35.98484792	862.5819053	25.10000038	-12.30000019	37.40000057	16.16666663	3.366666585	18.58333333	-2.750000139	323	42	18	28.26564913	108	60	92	78
98N2006	-66.321557	45.930988	5.487500037	10.19166683	25.80168756	1050.895996	23.70000076	-15.80000019	39.50000095	-4.699999968	-2.166666647	18.11666679	-7.966666698	1122	108	82	8.471618838	314	256	267	290
98N2008	-66.321557	45.930988	5.487500037	10.19166683	25.80168756	1050.895996	23.70000076	-15.80000019	39.50000095	-4.699999968	-2.166666647	18.11666679	-7.966666698	1122	108	82	8.471618838	314	256	267	290
98N2009	-66.321557	45.930988	5.487500037	10.19166683	25.80168756	1050.895996	23.70000076	-15.80000019	39.50000095	-4.699999968	-2.166666647	18.11666679	-7.966666698	1122	108	82	8.471618838	314	256	267	290
98N2012	-66.321557	45.930988	5.487500037	10.19166683	25.80168756	1050.895996	23.70000076	-15.80000019	39.50000095	-4.699999968	-2.166666647	18.11666679	-7.966666698	1122	108	82	8.471618838	314	256	267	290
98N2013	-66.321557	45.930988	5.487500037	10.19166683	25.80168756	1050.895996	23.70000076	-15.80000019	39.50000095	-4.699999968	-2.166666647	18.11666679	-7.966666698	1122	108	82	8.471618838	314	256	267	290
98N2016	-66.321557	45.930988	5.487500037	10.19166683	25.80168756	1050.895996	23.70000076	-15.80000019	39.50000095	-4.699999968	-2.166666647	18.11666679	-7.966666698	1122	108	82	8.471618838	314	256	267	290
98N2017	-66.321557	45.930988	5.487500037	10.19166683	25.80168756	1050.895996	23.70000076	-15.80000019	39.50000095	-4.699999968	-2.166666647	18.11666679	-7.966666698	1122	108	82	8.471618838	314	256	267	290
98N2018	-66.321557	45.930988	5.487500037	10.19166683	25.80168756	1050.895996	23.70000076	-15.80000019	39.50000095	-4.699999968	-2.166666647	18.11666679	-7.966666698	1122	108	82	8.471618838	314	256	267	290
98N2021	-66.321557	45.930988	5.487500037	10.19166683	25.80168756	1050.895996	23.70000076	-15.80000019	39.50000095	-4.699999968	-2.166666647	18.11666679	-7.966666698	1122	108	82	8.471618838	314	256	267	290
98N2022	-66.321557	45.930988	5.487500037	10.19166683	25.80168756	1050.895996	23.70000076	-15.80000019	39.50000095	-4.699999968	-2.166666647	18.11666679	-7.966666698	1122	108	82	8.471618838	314	256	267	290
98N2035	-72.539014	48.829764	1.320833335	10.74166648	22.75776851	1297.578961	21.89999962	-25.29999924	47.19999886	14.86666663	-14.35	16.14999978	-15.89999994	847	110	44	27.50078945	291	148	283	164
98N2037	-72.539014	48.829764	1.320833335	10.74166648	22.75776851	1297.578961	21.89999962	-25.29999924	47.19999886	14.86666663	-14.35	16.14999978	-15.89999994	847	110	44	27.50078945	291	148	283	164
